Data,nao_duraveis,semi duraveis,duraveis,servicos,tradables,monitorados,nontradables
1992.01,"28,12","13,8","29,15","25,84","24,81","28,5","26,18"
1992.02,"25,28","17,78","26,29","22,17","24,23","29,94","22,4"
1992.03,"22,16","19,09","21,07","20,74","21,14","22,48","21,25"
1992.04,"20,43","23,43","13,2","20,14","21,11","19,35","18,96"
1992.05,"26,1","23,89","21,67","26,93","26,08","19,88","25,52"
1992.06,"20,64","21,92","22,58","19,07","20,95","19,46","19,72"
1992.07,21,"19,77","23,33",22,"21,07","24,11","21,79"
1992.08,"23,45","17,49","27,85","18,58","22,3","26,6","20,31"
1992.09,"25,25","26,47","24,95","25,03","25,52","21,26","25,02"
1992.10,"27,61","29,09","27,36","22,65","27,38","21,46","24,41"
1992.11,"23,46","30,94","25,85","20,42","24,97","17,31","21,73"
1992.12,"26,03","31,64","25,1","22,43","27,03","24,51","23,51"
1993.01,"30,89","25,38","26,32","31,2","28,63","32,93","31,38"
1993.02,"24,22","21,82","30,67","23,54","23,76","29,24","24,79"
1993.03,"28,06","25,57","24,88","28,86","27,68","24,51","27,84"
1993.04,"28,28","32,85","26,23",25,"29,19","29,15","25,63"
1993.05,"26,94","27,01","26,1","28,41","26,99","29,48","27,81"
1993.06,"30,58","30,88","29,8","29,11","30,81","30,16","29,2"
1993.07,"31,14","30,52","26,76","28,78","31,51","35,26","28,05"
1993.08,"33,02","28,65","31,45","33,5","32,19","35,3","32,91"
1993.09,"36,35","34,87","29,35","36,36","35,43","36,14","35,81"
1993.10,"35,05","35,15","31,53","32,08","35,13","34,63","32,21"
1993.11,"37,17","36,13","36,07","33,01","36,56","35,47","34,4"
1993.12,"39,14","37,87","35,39","33,85","37,94","36,16","35,79"
1994.01,"45,52","36,88","38,31","42,08","40,15","37,74","44,63"
1994.02,"40,88","34,44","42,38","41,38","38,08","42,49","42,46"
1994.03,"43,8","41,15","41,22","43,95","41,88","41,27","44,59"
1994.04,"42,85","43,71","43,09","41,83","44,41","42,14","40,55"
1994.05,"41,01","46,59","46,04","45,42","44,34","45,22","43,09"
1994.06,"51,61","48,2","46,84","43,79","50,94","42,41","44,62"
1994.07,"8,53","9,28","4,89","4,46","5,99","4,64","9,02"
1994.08,"0,96","0,25","2,83","5,63","-0,23","-0,12","5,67"
1994.09,"-0,05","1,73","1,91","4,95","0,16","-0,16","4,04"
1994.10,"3,65","2,09","2,2","3,58","2,71","-0,72","3,73"
1994.11,"3,82","2,02","2,48","4,01","2,85","-0,79","4,03"
1994.12,"0,86","2,83","0,83","3,56","1,42","0,04","2,64"
1995.01,"0,69","0,96","0,9","5,18","0,48","-0,25","3,89"
1995.02,"0,42","-0,32","1,04","3,09","-0,19","0,48","2,67"
1995.03,"1,33","-0,13","0,91","3,83","0,18","0,36","3,55"
1995.04,"2,17","2,5","1,12","4,29","1,94","0,28","3,64"
1995.05,"0,74","2,64","1,47","6,91","1,71","0,3","4,44"
1995.06,"0,32","1,41","0,51","4,38","1,12","5,86","2,51"
1995.07,"1,45","0,96","-0,49","3,9","1,78","5,55","2,08"
1995.08,"0,68","-1,49","-1,03","3,31","0,2","1,29","1,76"
1995.09,"0,12","0,22","-0,88","2,85","0,54","1,42","1,34"
1995.10,"0,68","0,91","-0,93","2,47",1,"3,18","1,32"
1995.11,"1,06","0,01","-0,02","2,71","0,77","2,46","1,91"
1995.12,"1,09","-0,29","-0,13","2,28","0,57","4,4","1,73"
1996.01,"1,46","0,11","1,15","2,2","0,54","0,6","2,39"
1996.02,"0,21","-2,27","0,42","2,32","-0,66","4,23","1,77"
1996.03,"0,18","-2,24","0,94","1,63","-0,6","0,25","1,32"
1996.04,"0,45","0,64","0,72","1,4","0,46","3,87","1,23"
1996.05,"0,92","1,04","0,29","2,21","1,06","0,44","1,62"
1996.06,"0,65","0,4","0,23","1,54","0,69","3,02","1,1"
1996.07,"0,78","-0,03","0,6","1,41","0,65","2,58","1,08"
1996.08,"-0,38","-0,63","0,23","1,43","-0,14","1,25","0,73"
1996.09,"-0,44","-0,44","-0,1","1,02","-0,44","0,24","0,67"
1996.10,"0,1","0,3","0,05","0,62","0,36","0,19","0,28"
1996.11,"-0,24","0,15","0,42","0,83","0,11","0,53","0,45"
1996.12,"-0,17","0,39","0,28","0,73","0,2","1,49","0,39"
1997.01,"0,98","0,22","0,88","1,02","0,53","3,01","1,18"
1997.02,"0,65","-0,77","0,44","0,99","0,03","0,26","1,01"
1997.03,"1,06","-0,56","0,12","0,45","0,12","0,62","0,83"
1997.04,"-0,02","0,05","0,14","0,73","0,11","4,27","0,46"
1997.05,"-0,53","0,7","-0,64","0,87","0,04","1,66","0,31"
1997.06,"-0,19","-0,16","-0,41","0,59","0,09","2,97","0,1"
1997.07,"-0,32","0,13","-0,48","0,57","0,17","0,97","-0,01"
1997.08,"-0,4","-0,96","0,04","0,39","-0,36","0,59","0,07"
1997.09,"0,06","-0,18","-0,26","0,12","0,13","0,3","-0,08"
