Data,Último,Abertura,Máxima,Mínima,Vol.,Var%
01/08/04,"788,31","737,6","804,71","704,8",-,"6,12%"
01/09/04,"862,93",790,"867,9","774,96",-,"9,47%"
01/10/04,"868,72",862,"908,49","826,58",-,"0,67%"
01/11/04,"958,53","867,05","959,23","860,52",-,"10,34%"
01/12/04,"1046,55","962,74","1052,62","922,33",-,"9,18%"
01/01/05,"1018,57","1043,92","1055,32","952,97",-,"-2,67%"
01/02/05,"1195,77","1016,51","1211,36","1014,62",-,"17,40%"
01/03/05,"1090,51","1187,88","1222,82","1034,74",-,"-8,80%"
01/04/05,"1033,5","1095,5","1113,06","989,33",-,"-5,23%"
01/05/05,"1103,98","1044,28","1135,64","1005,08",-,"6,82%"
01/06/05,"1145,92",1090,"1179,58","1051,21",-,"3,80%"
01/07/05,"1183,87","1161,17","1202,72","1090,47",-,"3,31%"
01/08/05,"1313,41","1185,83","1333,01","1177,3",-,"10,94%"
01/09/05,"1560,62","1318,4","1562,95","1304,13",-,"18,82%"
01/10/05,"1461,87","1552,88","1571,62","1338,73",-,"-6,33%"
01/11/05,"1589,28","1458,81","1611,08","1457,9",-,"8,72%"
01/12/05,"1569,44","1574,7","1688,48","1504,24",-,"-1,25%"
01/01/06,"1950,14","1569,47","1955,17","1538,23",-,"24,26%"
01/02/06,"1985,83","1942,22","2015,16","1814,18",-,"1,83%"
01/03/06,"1886,23","1987,03","2037,12","1788,24",-,"-5,02%"
01/04/06,"2051,43","1899,32","2064,72","1888,07",-,"8,76%"
01/05/06,"1716,84","2056,67","2206,55","1591,15",-,"-16,31%"
01/06/06,"1821,85","1720,23","1858,06","1476,44",-,"6,12%"
01/07/06,"1838,9","1822,98","1883,46","1678,84",-,"0,94%"
01/08/06,"1826,66","1832,74","1905,48","1751,12",-,"-0,67%"
01/09/06,"1790,82","1815,47","1909,16","1632,07",-,"-1,96%"
01/10/06,"1940,35","1791,26","1978,34","1763,58",-,"8,35%"
01/11/06,"2041,84","1940,41","2055,54","1940,08",-,"5,23%"
01/12/06,"2205,43","2042,43","2209,96","2007,15",-,"8,01%"
01/01/07,"2220,85","2203,65","2248,52","2025,8",-,"0,70%"
01/02/07,"2157,62","2239,59","2342,83","2074,78",-,"-2,85%"
01/03/07,"2325,91","2141,06","2328,53","1997,15",-,"7,80%"
01/04/07,"2457,92","2320,15","2542,3","2294,37",-,"5,68%"
01/05/07,"2742,01","2461,08","2777,62","2461,08",-,"11,56%"
01/06/07,"2857,33","2772,96","2942,53","2630,85",-,"4,21%"
