Data;DLSP;Resultado Primário
11/2002;59,85;-3,31
12/2002;59,93;-3,19
01/2003;59,97;-3,25
02/2003;60,26;-3,36
03/2003;58,46;-3,33
04/2003;54,44;-3,57
05/2003;54,96;-3,61
06/2003;54,42;-3,42
07/2003;55,11;-3,42
08/2003;55,49;-3,56
09/2003;54,73;-3,35
10/2003;53,8;-3,34
11/2003;54,22;-3,35
12/2003;54,26;-3,24
01/2004;54,05;-3,35
02/2004;53,8;-3,33
03/2004;53,19;-3,43
04/2004;52,91;-3,28
05/2004;53,45;-3,33
06/2004;52,83;-3,59
07/2004;52,07;-3,61
08/2004;51,44;-3,68
09/2004;50,86;-3,65
10/2004;50,75;-3,63
11/2004;50,05;-3,51
12/2004;50,19;-3,69
01/2005;49,56;-3,78
02/2005;49,3;-3,64
03/2005;49,31;-3,73
04/2005;48,32;-4,08
05/2005;47,94;-4,01
06/2005;48,04;-3,99
07/2005;48,14;-4,02
08/2005;47,95;-4,02
09/2005;47,65;-3,94
10/2005;47,53;-3,97
11/2005;47,42;-3,91
12/2005;47,92;-3,74
01/2006;47,82;-3,42
02/2006;47,78;-3,38
03/2006;47,66;-3,29
04/2006;47,14;-3,31
05/2006;47,02;-3,29
06/2006;46,96;-3,32
07/2006;46,83;-3,24
08/2006;46,62;-3,35
09/2006;46,57;-3,22
10/2006;46,17;-3,28
11/2006;46,01;-3,28
12/2006;46,49;-3,15
01/2007;45,95;-3,49
02/2007;45,86;-3,5
03/2007;45,81;-3,41
04/2007;45,08;-3,41
05/2007;45,23;-3,45
06/2007;44,8;-3,39
07/2007;44,73;-3,4
08/2007;44,09;-3,24
09/2007;44,59;-3,21
10/2007;44,6;-3,24
11/2007;44,11;-3,34
12/2007;44,55;-3,24
01/2008;43,71;-3,39
02/2008;43,79;-3,43
03/2008;43;-3,63
04/2008;42,82;-3,61
05/2008;43,03;-3,6
06/2008;42,89;-3,62
07/2008;42,74;-3,72
08/2008;42,02;-3,77
09/2008;39,96;-3,85
10/2008;38,3;-3,98
11/2008;36,95;-3,69
12/2008;37,57;-3,33
