"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Ago 99","24,45","25,75","30,00","20,12","-","-0,77%"
"Set 99","25,41","23,86","29,21","20,87","-","3,93%"
"Out 99","22,20","25,58","29,81","20,30","-","-12,63%"
"Nov 99","24,18","22,70","24,29","18,64","-","8,92%"
"Dez 99","24,64","23,41","25,20","18,69","-","1,90%"
"Jan 00","24,95","24,36","29,00","19,51","-","1,26%"
"Fev 00","23,37","24,43","28,12","20,69","-","-6,33%"
"Mar 00","24,11","22,65","25,87","19,19","-","3,17%"
"Abr 00","26,20","24,99","34,31","23,25","-","8,67%"
"Mai 00","23,65","26,07","32,89","23,23","-","-9,73%"
"Jun 00","19,54","23,20","25,01","19,39","-","-17,38%"
"Jul 00","20,74","20,51","21,65","18,77","-","6,14%"
"Ago 00","16,84","20,66","20,84","16,28","-","-18,80%"
"Set 00","20,57","16,81","22,66","16,47","-","22,15%"
"Out 00","23,63","20,98","30,80","20,41","-","14,88%"
"Nov 00","29,65","24,07","31,11","23,51","-","25,48%"
"Dez 00","26,85","28,31","32,32","22,38","-","-9,44%"
"Jan 01","22,02","27,93","30,80","21,47","-","-17,99%"
"Fev 01","28,35","22,39","30,62","20,22","-","28,75%"
"Mar 01","28,64","29,66","35,45","24,12","-","1,02%"
"Abr 01","25,48","29,40","35,20","23,01","-","-11,03%"
"Mai 01","22,64","25,46","26,49","20,46","-","-11,15%"
"Jun 01","19,06","23,02","24,42","18,83","-","-15,81%"
"Jul 01","21,62","19,75","25,61","18,74","-","13,43%"
"Ago 01","24,92","20,97","25,84","19,69","-","15,26%"
"Set 01","31,93","26,11","49,35","24,19","-","28,13%"
"Out 01","33,56","33,42","36,95","28,11","-","5,10%"
"Nov 01","23,84","33,97","34,57","22,96","-","-28,96%"
"Dez 01","23,80","25,92","26,38","21,12","-","-0,17%"
"Jan 02","21,09","23,78","26,88","20,40","-","-11,39%"
"Fev 02","21,59","21,12","27,32","20,55","-","2,37%"
"Mar 02","17,40","21,06","21,12","17,02","-","-19,41%"
"Abr 02","21,91","18,99","24,50","17,73","-","25,92%"
"Mai 02","19,98","21,44","22,71","17,70","-","-8,81%"
"Jun 02","25,40","20,98","30,98","20,62","-","27,13%"
"Jul 02","32,03","25,71","48,46","25,63","-","26,10%"
"Ago 02","32,64","32,77","45,21","27,61","-","1,90%"
"Set 02","39,69","37,12","41,86","33,72","-","21,60%"
"Out 02","31,14","37,25","43,44","29,69","-","-21,54%"
"Nov 02","27,50","31,57","32,60","23,05","-","-11,69%"
"Dez 02","28,62","28,35","31,20","25,87","-","4,07%"
"Jan 03","31,17","28,74","35,33","24,02","-","8,91%"
"Fev 03","29,63","32,45","35,66","29,06","-","-4,94%"
"Mar 03","29,15","29,78","34,40","27,58","-","-1,62%"
"Abr 03","21,21","29,58","30,04","20,26","-","-27,24%"
"Mai 03","19,47","21,35","22,33","18,24","-","-8,20%"
"Jun 03","19,52","20,35","22,81","18,87","-","0,26%"
"Jul 03","19,49","20,49","20,80","17,65","-","-0,15%"
"Ago 03","18,63","20,06","23,89","17,64","-","-4,41%"
"Set 03","22,72","19,31","23,26","17,52","-","21,95%"
"Out 03","16,10","22,81","22,82","15,79","-","-29,14%"
"Nov 03","16,32","16,33","19,61","16,02","-","1,37%"
"Dez 03","18,31","16,74","18,86","14,66","-","12,19%"
"Jan 04","16,63","17,96","18,68","14,01","-","-9,18%"
"Fev 04","14,55","17,45","18,06","13,80","-","-12,51%"
"Mar 04","16,74","14,91","22,67","13,83","-","15,05%"
"Abr 04","17,19","16,76","17,98","13,86","-","2,69%"
"Mai 04","15,50","17,69","20,45","15,19","-","-9,83%"
"Jun 04","14,34","16,60","17,04","13,75","-","-7,48%"
"Jul 04","15,32","14,74","17,93","13,34","-","6,83%"
"Ago 04","15,29","16,42","19,97","14,67","-","-0,20%"
"Set 04","13,34","15,39","15,98","13,16","-","-12,75%"
"Out 04","16,27","13,11","16,87","12,60","-","21,96%"
"Nov 04","13,24","16,43","16,76","12,56","-","-18,62%"
"Dez 04","13,29","13,10","13,74","11,14","-","0,38%"
"Jan 05","12,82","13,39","14,75","12,29","-","-3,54%"
"Fev 05","12,08","12,80","13,20","10,90","-","-5,77%"
"Mar 05","14,02","11,95","14,89","11,66","-","16,06%"
"Abr 05","15,31","13,64","18,59","11,20","-","9,20%"
"Mai 05","13,29","15,45","17,70","11,65","-","-13,19%"
"Jun 05","12,04","13,34","13,34","10,78","-","-9,41%"
"Jul 05","11,57","11,75","13,92","9,88","-","-3,90%"
"Ago 05","12,60","11,75","14,41","11,36","-","8,90%"
"Set 05","11,92","12,86","14,39","11,07","-","-5,40%"
"Out 05","15,32","12,37","17,19","11,98","-","28,52%"
"Nov 05","12,06","14,85","15,66","10,50","-","-21,28%"
"Dez 05","12,07","12,09","12,44","10,15","-","0,08%"
"Jan 06","12,95","12,25","14,56","10,81","-","7,29%"
"Fev 06","12,34","13,03","13,73","11,13","-","-4,71%"
"Mar 06","11,39","12,05","13,34","10,53","-","-7,70%"
"Abr 06","11,59","11,47","13,09","11,02","-","1,76%"
"Mai 06","16,44","11,83","19,87","11,18","-","41,85%"
"Jun 06","13,08","16,47","23,81","12,74","-","-20,44%"
"Jul 06","14,95","13,29","19,58","12,77","-","14,30%"
"Ago 06","12,31","15,49","16,15","11,57","-","-17,66%"
"Set 06","11,98","12,14","14,49","10,74","-","-2,68%"
"Out 06","11,10","12,45","12,91","10,44","-","-7,35%"
"Nov 06","10,91","10,93","12,55","9,81","-","-1,71%"
"Dez 06","11,56","11,07","12,68","9,39","-","5,96%"
"Jan 07","10,42","12,16","12,83","9,87","-","-9,86%"
"Fev 07","15,42","10,32","19,01","9,70","-","47,98%"
"Mar 07","14,64","17,76","21,25","11,21","-","-5,06%"
"Abr 07","14,22","14,91","15,46","11,46","-","-2,87%"
"Mai 07","13,05","14,10","14,60","12,08","-","-8,23%"
"Jun 07","16,23","12,77","18,98","12,43","-","24,37%"
"Jul 07","23,52","16,48","24,17","14,67","-","44,92%"
"Ago 07","23,38","23,71","37,50","19,33","-","-0,60%"
"Set 07","18,00","21,93","28,82","16,91","-","-23,01%"
"Out 07","18,53","18,44","24,15","16,08","-","2,94%"
"Nov 07","22,87","19,89","31,09","17,38","-","23,42%"
"Dez 07","22,50","23,59","24,86","18,28","-","-1,62%"
"Jan 08","26,20","22,58","37,57","22,11","-","16,44%"
"Fev 08","26,54","25,66","29,70","21,64","-","1,30%"
"Mar 08","25,61","27,54","35,60","23,30","-","-3,50%"
